song,artist,released,actual_sales,times_platinum
Black Beatles,Rae Sremmurd featuring Gucci Mane,2016,1.2,6×
WAP,Cardi B featuring Megan Thee Stallion,2020,0.3,6×
Forever,Chris Brown,2008,—,6x
Side to Side,Ariana Grande featuring Nicki Minaj,2016,—,6×
Young Dumb & Broke,Khalid,2017,—,6×
Watch Me (Whip/Nae Nae),Silentó,2015,—,6×
I'm Not the Only One,Sam Smith,2014,—,6×
My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,2013,—,6×
Black and Yellow,Wiz Khalifa,2010,—,6×
Moonlight,XXXTentacion,2018,—,6×
Fuck Love,XXXTentacion,2018,—,6×
Better Now,Post Malone,2018,—,6×
Ride,Twenty One Pilots,2015,—,6x
No Role Modelz,J. Cole,2015,—,6x
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,—,6x
